InflowHigh      | avgQ       | maxQ      
-------------------------------------------
0.80            | 0.0000     | 0.0000    
0.85            | 0.0000     | 0.0000    
0.90            | 0.0000     | 0.0000    
0.95            | 0.0000     | 0.0000    
1.00            | 0.0000     | 0.0000    
1.05            | 0.0000     | 0.0000    
1.10            | 0.0000     | 0.0000    
1.15            | 0.0000     | 0.0000    
1.20            | 0.0000     | 0.0000    
1.25            | 0.0000     | 0.0000    
1.30            | 0.0000     | 0.0003    
1.35            | 0.0000     | 0.0028    
1.40            | 0.0000     | 0.0053    
